IPA,syllabic,stress,long,consonantal,sonorant,continuant,delayedrelease,approximant,tap,trill,nasal,voice,spreadglottis,constrictedglottis,labial,round,labiodental,coronal,anterior,distributed,strident,lateral,dorsal,high,low,front,back,tense
̩,+,,,,,,,,,,,,,,,,,,,,,,,,,,,
̰,,,,,,,,,,,,,-,+,,,,,,,,,,,,,,
̤,,,,,,,,,,,,,+,-,,,,,,,,,,,,,,
̥,,,,,,,,,,,,-,,,,,,,,,,,,,,,,
̪,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,
̟,,,,,,,,,,,,,,,,,,,,,,,,,,+,-,
̠,,,,,,,,,,,,,,,,,,,,,,,,,,-,+,
ː,,,+,,,,,,,,,,,,,,,,,,,,,,,,,
ʰ,,,,,,,,,,,,,+,-,,,,,,,,,,,,,,
ʲ,,,,,,,,,,,,,,,,,,,,,,,+,+,-,+,-,
ʷ,,,,,,,,,,,,,,,+,+,,,,,,,,,,,,
ˠ,,,,,,,,,,,,,,,,,,,,,,,+,-,+,-,+,
ˤ,,,,,,,,,,,,,,,,,,,,,,,+,-,+,-,+,
̃,,,,,,,,,,,+,,,,,,,,,,,,,,,,,
˞,,,,,,,,,,,,,,,,,,+,+,+,-,,,,,,,
ʼ,,,,,,,,,,,,,-,+,,,,,,,,,,,,,,
