IPA,syllabic,stress,long,consonantal,sonorant,continuant,delayedrelease,approximant,tap,trill,nasal,voice,spreadglottis,constrictedglottis,labial,round,labiodental,coronal,anterior,distributed,strident,lateral,dorsal,high,low,front,back,tense
ɒ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,+,-,+,0
ɑ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,-,+,0
ɶ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,+,+,-,0
a,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,-,-,0
æ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,+,-,0
ʌ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,-
ɔ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,+,-
o,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,+,+
ɤ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,+
ɘ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,-,+
œ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,+,-,-
ə,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,-,-
e,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,+,-,+
ɞ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,-,-
ø,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,+,-,+
ɛ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,+,-,-
ɵ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,-,+
ɯ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,+
u,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,+,+
ʊ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,+,-
ɨ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,-,+
ʉ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,-,+
y,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,+,-,+
i,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,+
ʏ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,+,-,-
ɪ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,-
ŋ̟,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
ʟ̟,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,+,+,+,-,+,-,0
ɫ,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,-,-,+,0
ɴ,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ʀ,-,-,-,+,+,+,0,+,-,+,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ɲ,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
ʎ,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,-,+,-,+,+,+,-,+,-,0
ŋ̟,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
ŋ̠,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
ʟ,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,+,+,+,-,0,0,0
ʟ̠,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,+,+,+,-,-,+,0
ɳ,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
ʙ,-,-,-,+,+,+,0,+,-,+,-,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
ɭ,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,-,-,-,+,-,0,0,0,0,0
ɺ,-,-,-,+,+,+,0,+,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
ɻ,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
ɽ,-,-,-,+,+,+,0,+,+,-,-,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
r,-,-,-,+,+,+,0,+,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
n,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
m,-,-,-,+,+,-,0,-,-,-,+,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
l,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
ɾ,-,-,-,+,+,+,0,+,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
ɱ,-,-,-,+,+,-,0,-,-,-,+,+,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
ʔ,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,0,0,0,-,-,0,0,0,0,0
