ɒ,+---++0+---+--++--000-+-+-+0
ɑ,+---++0+---+------000-+-+-+0
ɶ,+---++0+---+--++--000-+-++-0
a,+---++0+---+------000-+-+--0
æ,+---++0+---+------000-+-++-0
ʌ,+---++0+---+------000-+---+-
ɔ,+---++0+---+--++--000-+---+-
o,+---++0+---+--++--000-+---++
ɤ,+---++0+---+------000-+---++
ɘ,+---++0+---+------000-+----+
œ,+---++0+---+--++--000-+--+--
ə,+---++0+---+------000-+-----
e,+---++0+---+------000-+--+-+
ɞ,+---++0+---+--++--000-+-----
ø,+---++0+---+--++--000-+--+-+
ɛ,+---++0+---+------000-+--+--
ɵ,+---++0+---+--++--000-+----+
ɯ,+---++0+---+------000-++--++
u,+---++0+---+--++--000-++--++
ʊ,+---++0+---+--++--000-++--+-
ɨ,+---++0+---+------000-++---+
ʉ,+---++0+---+--++--000-++---+
y,+---++0+---+--++--000-++-+-+
i,+---++0+---+------000-++-+-+
ʏ,+---++0+---+--++--000-++-+--
ɪ,+---++0+---+------000-++-+--
ŋ̟,---++-0---++------000-++-+-0
ʟ̟,---+++0+---+------000+++-+-0
ɫ,---+++0+---+-----++--++---+0
ɴ,---++-0---++------000-+---+0
ʀ,---+++0+-+-+------000-+---+0
ɲ,---++-0---++-----+-+--++-+-0
ʎ,---+++0+---+-----+-+-+++-+-0
ŋ̟,---++-0---++------000-++-000
ŋ̠,---++-0---++------000-++--+0
ʟ,---+++0+---+------000+++-000
ʟ̠,---+++0+---+------000+++--+0
ɳ,---++-0---++-----+-----00000
ʙ,---+++0+-+-+--+---000--00000
ɭ,---+++0+---+-----+---+-00000
ɺ,---+++0++--+-----++--+-00000
ɻ,---+++0+---+-----+-----00000
ɽ,---+++0++--+-----+-----00000
r,---+++0+-+-+-----++----00000
n,---++-0---++-----++----00000
m,---++-0---++--+---000--00000
l,---+++0+---+-----++--+-00000
ɾ,---+++0++--+-----++----00000
ɱ,---++-0---++--+-+-000--00000
ʔ,---+---------+----000--00000
ɣ̟,---+-++----+------000-++-+-0
x̟,---+-++-----------000-++-+-0
k̟,---+--------------000-++-+-0
ɡ̟,---+-------+------000-++-+-0
k̟͡x̟,---+--+-----------000-++-+-0
ɡ̟͡ɣ̟,---+--+----+------000-++-+-0
ħ,---+-++-----------000-+-+-+0
ʕ,---+-+-----+------000-+-+-+0
ʁ,---+-++----+------000-+---+0
q,---+--------------000-+---+0
χ,---+-++-----------000-+---+0
ɢ,---+-------+------000-+---+0
ɕ,---+-++----------++++-++-+-0
ɟ,---+-------+-----+-+--++-+-0
ʝ,---+-++----+-----+-+--++-+-0
c,---+-------------+-+--++-+-0
ç,---+-++----------+-+--++-+-0
d͡ʑ,---+--+----+-----++++-++-+-0
t͡ɕ,---+--+----------++++-++-+-0
ɣ,---+-++----+------000-++-000
ɣ̠,---+-++----+------000-++--+0
x,---+-++-----------000-++-000
x̠,---+-++-----------000-++--+0
k,---+--------------000-++-000
k̠,---+--------------000-++--+0
ɡ,---+-------+------000-++-000
ɡ̠,---+-------+------000-++--+0
ʑ,---+-++----+-----++++-++-+-0
ʈ,---+-------------+-----00000
ɖ,---+-------+-----+-----00000
ɬ,---+-++----------++--+-00000
ʐ,---+-++----+-----+--+--00000
ɸ,---+-++-------+---000--00000
ʂ,---+-++----------+--+--00000
ʒ,---+-++----+-----+-++--00000
z,---+-++----+-----++-+--00000
v,---+-++----+--+-+-000--00000
t,---+-------------++----00000
ʃ,---+-++----------+-++--00000
s,---+-++----------++-+--00000
p,---+----------+---000--00000
f,---+-++-------+-+-000--00000
d,---+-------+-----++----00000
b,---+-------+--+---000--00000
θ,---+-++----------+++---00000
ɮ,---+-++----+-----++--+-00000
ð,---+-++----+-----+++---00000
β,---+-++----+--+---000--00000
d͡ʒ,---+--+----+-----+-++--00000
d͡z,---+--+----+-----++-+--00000
d͡ɮ,---+--+----+-----++--+-00000
d̠͡ɮ̠,---+--+----+-----+-+-+-00000
t͡ʃ,---+--+----------+-++--00000
t̠͡ɬ̠,---+--+----------+-+-+-00000
t͡s,---+--+----------++-+--00000
t͡ɬ,---+--+----------++--+-00000
t̪͡s̪,---+--+----------++++--00000
t̪͡ɬ̪,---+--+----------+++-+-00000
d̪͡z̪,---+--+----+-----++++--00000
d̪͡ɮ̪,---+--+----+-----+++-+-00000
ʈ͡ʂ,---+--+----------+--+--00000
ɖ͡ʐ,---+--+----+-----+--+--00000
p͡f,---+--+-------+-+-000--00000
b͡v,---+--+----+--+-+-000--00000
p͡ɸ,---+--+-------+---000--00000
b͡β,---+--+----+--+---000--00000
t̪͡θ,---+--+----------+++---00000
d̪͡ð,---+--+----+-----+++---00000
c͡ç,---+--+----------+-+--++-+-0
ɟ͡ʝ,---+--+----+-----+-+--++-+-0
k͡x,---+--+-----------000-++-000
k̠͡x̠,---+--+-----------000-++--+0
ɡ͡ɣ,---+--+----+------000-++-000
ɡ̠͡ɣ̠,---+--+----+------000-++--+0
q͡χ,---+--+-----------000-+---+0
ɢ͡ʁ,---+--+----+------000-+---+0
ɧ,---+-++----------+-++-++-000
k͡p,---+----------+---000-++-000
ɡ͡b,---+-------+--+---000-++-000
p͡t,---+----------+--++-+--00000
b͡d,---+-------+--+--++-+--00000
ɰ,----++0+---+------000-++-00+
ɰ̠,----++0+---+------000-++--++
w,----++0+---+--++--000-++--++
ɥ,----++0+---+--++--000-++-+-+
j,----++0+---+------000-++-+-+
